iter	Passed	Remaining
1477	126432	44653
1478	126514	44566
1479	126593	44478
1480	126672	44390
1481	126755	44304
1482	126838	44218
1483	126918	44130
1484	126996	44042
1485	127077	43955
1486	127160	43869
1487	127243	43782
1488	127325	43696
1489	127406	43608
1490	127489	43522
1491	127572	43436
1492	127653	43349
1493	127735	43262
1494	127821	43177
1495	127903	43090
1496	127983	43003
1497	128063	42915
1498	128148	42830
1499	128230	42743
1500	128316	42658
1501	128401	42572
1502	128483	42485
1503	128569	42400
1504	128654	42314
1505	128739	42229
1506	128824	42143
1507	128906	42056
1508	128990	41971
1509	129079	41886
1510	129162	41800
1511	129242	41713
1512	129325	41626
1513	129405	41539
1514	129488	41453
1515	129570	41366
1516	129651	41280
1517	129733	41193
1518	129817	41107
1519	129899	41021
1520	129985	40935
1521	130068	40849
1522	130153	40763
1523	130234	40676
1524	130319	40591
1525	130402	40505
1526	130482	40418
1527	130565	40331
1528	130647	40245
1529	130730	40158
1530	130813	40072
1531	130896	39986
1532	130979	39900
1533	131139	39837
1534	131273	39766
1535	131619	39760
1536	131853	39719
1537	131997	39650
1538	132095	39568
1539	132179	39482
1540	132261	39395
1541	132344	39308
1542	132427	39221
1543	132511	39135
1544	132594	39048
1545	132677	38962
1546	132760	38875
1547	132843	38788
1548	132924	38701
1549	133006	38614
1550	133088	38527
1551	133169	38440
1552	133250	38353
1553	133330	38265
1554	133413	38179
1555	133496	38092
1556	133578	38005
1557	133659	37918
1558	133742	37832
1559	133839	37749
1560	133920	37662
1561	134002	37575
1562	134084	37488
1563	134167	37402
1564	134248	37315
1565	134328	37227
1566	134412	37141
1567	134494	37054
1568	134576	36967
1569	134658	36881
1570	134739	36793
1571	134820	36706
1572	134901	36619
1573	134982	36532
1574	135064	36446
1575	135146	36359
1576	135229	36272
1577	135310	36185
1578	135391	36098
1579	135474	36012
1580	135553	35924
1581	135634	35837
1582	135713	35750
1583	135821	35670
1584	135904	35583
1585	135984	35496
1586	136065	35409
1587	136149	35323
1588	136231	35236
1589	136314	35150
1590	136400	35064
1591	136481	34977
1592	136561	34890
1593	136641	34803
1594	136722	34716
1595	136803	34629
1596	136887	34543
1597	136973	34457
1598	137057	34371
1599	137142	34285
1600	137222	34198
1601	137305	34112
1602	137385	34024
1603	137473	33939
1604	137556	33853
1605	137638	33766
1606	137721	33680
1607	137803	33593
1608	137898	33510
1609	137992	33426
1610	138072	33339
1611	138153	33252
1612	138235	33166
1613	138318	33079
1614	138404	32994
1615	138488	32908
1616	138569	32821
1617	138650	32734
1618	138730	32647
1619	138810	32560
1620	138889	32473
1621	138973	32387
1622	139057	32300
1623	139142	32215
1624	139226	32129
1625	139307	32042
1626	139388	31955
1627	139473	31869
1628	139554	31783
1629	139632	31695
1630	139713	31608
1631	139795	31522
1632	139878	31436
1633	139965	31350
1634	140048	31264
1635	140131	31178
1636	140215	31092
1637	140298	31006
1638	140380	30919
1639	140463	30833
1640	140544	30746
1641	140626	30660
1642	140707	30573
1643	140787	30486
1644	140870	30400
1645	140951	30314
1646	141036	30228
1647	141117	30141
1648	141199	30055
1649	141282	29968
1650	141364	29882
1651	141443	29795
1652	141524	29708
1653	141606	29622
1654	141686	29535
1655	141769	29449
1656	141851	29363
1657	141944	29279
1658	142031	29193
1659	142112	29107
1660	142194	29021
